name,type,race,atk,def,level,attribute,archetype
"""A Case for K9""",Spell Card,Continuous,-1,-1,0,NONE,K9
"""A"" Cell Breeding Device",Spell Card,Continuous,-1,-1,0,NONE,Alien
"""A"" Cell Incubator",Spell Card,Continuous,-1,-1,0,NONE,Alien
"""A"" Cell Recombination Device",Spell Card,Quick-Play,-1,-1,0,NONE,Alien
"""A"" Cell Scatter Burst",Spell Card,Quick-Play,-1,-1,0,NONE,Alien
"""Infernoble Arms - Almace""",Spell Card,Equip,-1,-1,0,NONE,Infernoble Arms
"""Infernoble Arms - Durendal""",Spell Card,Equip,-1,-1,0,NONE,Noble Knight
"""Infernoble Arms - Hauteclere""",Spell Card,Equip,-1,-1,0,NONE,Noble Knight
"""Infernoble Arms - Joyeuse""",Spell Card,Equip,-1,-1,0,NONE,Noble Knight
1st Movement Solo,Spell Card,Normal,-1,-1,0,NONE,Melodious
A Deal with Dark Ruler,Spell Card,Quick-Play,-1,-1,0,NONE,Archfiend
A Hero Lives,Spell Card,Normal,-1,-1,0,NONE,Elemental HERO
A Legendary Ocean,Spell Card,Field,-1,-1,0,NONE,Umi
A-Assault Core,Union Effect Monster,Machine,1900,200,4,LIGHT,ABC
A-to-Z Energy Load,Trap Card,Normal,-1,-1,0,NONE,A-to-Z
A-to-Z-Dragon Buster Cannon,Fusion Monster,Machine,4000,4000,10,LIGHT,ABC
A.I. Challenge You,Trap Card,Continuous,-1,-1,0,NONE,A.I.
A.I. Connect,Spell Card,Normal,-1,-1,0,NONE,A.I.
A.I. Contact,Spell Card,Normal,-1,-1,0,NONE,@Ignister
A.I. Love Fusion,Spell Card,Normal,-1,-1,0,NONE,@Ignister
A.I. Meet You,Spell Card,Normal,-1,-1,0,NONE,A.I.
A.I. Shadow,Trap Card,Continuous,-1,-1,0,NONE,@Ignister
A.I.'s Ritual,Spell Card,Ritual,-1,-1,0,NONE,@Ignister
A.I.'s Show,Trap Card,Normal,-1,-1,0,NONE,A.I.
A.I.dle Reborn,Spell Card,Quick-Play,-1,-1,0,NONE,@Ignister
A.I.Q,Trap Card,Continuous,-1,-1,0,NONE,@Ignister
ABC-Dragon Buster,Fusion Monster,Machine,3000,2800,8,LIGHT,ABC
Abominable Chamber of the Unchained,Trap Card,Normal,-1,-1,0,NONE,Unchained
Abomination's Prison,Spell Card,Normal,-1,-1,0,NONE,Unchained
Absolute Powerforce,Spell Card,Quick-Play,-1,-1,0,NONE,Signature move
Absorb Fusion,Spell Card,Normal,-1,-1,0,NONE,Gem-
Absorouter Dragon,Effect Monster,Dragon,1200,2800,7,DARK,Rokket
Abyss Actor - Comic Relief,Pendulum Effect Monster,Fiend,1000,2000,3,DARK,Abyss Actor
Abyss Actor - Curtain Raiser,Pendulum Effect Monster,Fiend,1100,1000,4,DARK,Abyss Actor
Abyss Actor - Evil Heel,Pendulum Effect Monster,Fiend,3000,2000,8,DARK,Abyss Actor
Abyss Actor - Extras,Pendulum Effect Monster,Fiend,100,100,1,DARK,Abyss Actor
Abyss Actor - Funky Comedian,Pendulum Effect Monster,Fiend,300,200,1,DARK,Abyss Actor
Abyss Actor - Hyper Director,Link Monster,Fiend,800,-1,0,DARK,Abyss Actor
Abyss Actor - Leading Lady,Pendulum Effect Monster,Fiend,1500,1000,4,DARK,Abyss Actor
Abyss Actor - Liberty Dramatist,Pendulum Effect Monster,Fiend,1500,1500,4,DARK,Abyss Actor
Abyss Actor - Mellow Madonna,Pendulum Effect Monster,Fiend,1800,2500,7,DARK,Abyss Actor
Abyss Actor - Sassy Rookie,Pendulum Effect Monster,Fiend,1700,1000,4,DARK,Abyss Actor
Abyss Actor - Super Producer,Link Monster,Fiend,1600,-1,0,DARK,Abyss Actor
Abyss Actor - Superstar,Pendulum Effect Monster,Fiend,2500,1800,7,DARK,Abyss Actor
Abyss Actor - Trendy Understudy,Pendulum Effect Monster,Fiend,700,700,2,DARK,Abyss Actor
Abyss Actor - Twinkle Little Star,Pendulum Effect Monster,Fiend,1000,1000,4,DARK,Abyss Actor
Abyss Actor - Wild Hope,Pendulum Effect Monster,Fiend,1600,1200,4,DARK,Abyss Actor
Abyss Actors Back Stage,Trap Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Actors' Curtain Call,Trap Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Actors' Dress Rehearsal,Spell Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Flower,Normal Monster,Plant,750,400,2,EARTH,Recolored counterpart
Abyss of the Sacred Beasts,Trap Card,Continuous,-1,-1,0,NONE,Phantasm
Abyss Playhouse - Fantastic Theater,Spell Card,Field,-1,-1,0,NONE,Abyss Actor
Abyss Prop - Wild Wagon,Spell Card,Continuous,-1,-1,0,NONE,Abyss Actor
Abyss Script - Abysstainment,Spell Card,Continuous,-1,-1,0,NONE,Abyss Actor
Abyss Script - Dramatic Story,Spell Card,Normal,-1,-1,0,NONE,Abyss Script
Abyss Script - Fantasy Magic,Spell Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Script - Fire Dragon's Lair,Spell Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Script - Opening Ceremony,Spell Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Script - Rise of the Abyss King,Spell Card,Normal,-1,-1,0,NONE,Abyss Actor
Abyss Script - Romantic Terror,Spell Card,Quick-Play,-1,-1,0,NONE,Abyss Actor
Abyss Shark,Effect Monster,Fish,1200,700,5,WATER,Abyss-
Abyss-scale of Cetus,Spell Card,Equip,-1,-1,0,NONE,Mermail
Abyss-scale of the Kraken,Spell Card,Equip,-1,-1,0,NONE,Mermail
Abyss-scale of the Mizuchi,Spell Card,Equip,-1,-1,0,NONE,Mermail
Abyss-scorn,Trap Card,Normal,-1,-1,0,NONE,Mermail
Abyss-sphere,Trap Card,Continuous,-1,-1,0,NONE,Mermail
Abyss-squall,Trap Card,Normal,-1,-1,0,NONE,Mermail
Abyss-steam,Trap Card,Normal,-1,-1,0,NONE,Abyss-
Abyss-sting Triaina,Spell Card,Equip,-1,-1,0,NONE,Abyss-
Abyss-strom,Trap Card,Normal,-1,-1,0,NONE,Umi
"Abyssrhine, the Atlantean Spirit",Effect Monster,Aqua,1600,1600,3,WATER,Abyss-
